i,j,LLBCe,LLBMEe1
8,100,0.0022561031635478313,-721.8563890652854
9,28,0.0036590287277331254,-909.0919047766243
9,31,0.0037278341714588555,-971.1691716182108
9,46,0.0053267969699452924,-1229.714624995551
9,47,0.0067297420247606635,-3692.6617975049508
9,58,0.003656520967902041,-1092.3743327337977
9,59,0.0031603422207221394,-862.562659155507
9,70,0.009882545635833956,-3060.1875726096873
9,105,0.004587162725600419,-1398.1957292551685
9,114,0.009197713795555468,-4207.375017518302
10,16,0.005808750938401481,-1294.7984157160479
10,19,0.004923204290541843,-1669.134848178558
10,24,0.005489098604836761,-1195.8440411193098
10,27,0.003811837416800658,-942.8660963420202
10,28,0.010471862531017704,-3195.4689967313393
10,41,0.015262666422189592,-6165.397187820705
10,53,0.0048103135921730026,-1546.6298557299144
10,70,0.0037211573149073143,-887.8475378270158
10,99,0.004741028793966751,-1118.6227306849294
10,112,0.004752474602089807,-965.3233724782881
11,39,0.003087398213964019,-744.1747161155745
11,57,0.010518639616414915,-3044.164599382779
11,60,0.0049288829070167454,-987.9508063208641
11,62,0.0028226757218728664,-555.9807373688718
11,69,0.006052999913618578,-1506.7729212694076
11,75,0.003662110199543354,-583.904108270971
11,76,0.0035274376860683506,-680.6263943578684
11,94,0.004550546525807879,-986.5758588131947
11,95,0.003327615520395858,-723.1139835928585
11,98,0.0037577701547981735,-666.7397972658506
12,19,0.015615594274870186,-5819.872596826947
12,35,0.004805428302870759,-1250.48573203565
12,65,0.004773334482086129,-1364.9964494391656
12,66,0.004289569262734419,-1647.5000957598124
12,69,0.004815624051036527,-1359.482652883671
12,104,0.004502423292757843,-970.4752425495188
12,110,0.00984867007562349,-2237.4911257420786
13,24,0.007711073787552584,-1402.1656141821707
13,52,0.0042588487747638945,-1054.6966592311348
13,61,0.00432832600126422,-1605.5245776469292
13,72,0.007218522375260228,-3210.3401402670697
13,80,0.004077340137247971,-920.1612165244792
13,83,0.0015352045797513106,-219.21057338618616
13,91,0.0027175785296167064,-654.394349794542
13,92,0.0024125989277947193,-468.54199264758205
13,107,0.0035770803428288233,-702.5992515069853
13,111,0.0028540413900365502,-563.9401097048251
14,16,0.004106565769831074,-563.7930074702521
14,27,0.005052459542425625,-1078.4652031349442
14,42,0.002763532763532763,-298.44954555110706
14,49,0.003164973230285277,-473.6592337846154
14,53,0.0045140281584379665,-1040.8660724232523
14,54,0.012174527658659307,-3297.990698744104
14,73,0.007276663493436487,-1181.236643201173
14,80,0.005264927995787141,-1029.743868917146
14,92,0.007314781668260706,-1400.653575473682
14,99,0.0036875045960258978,-610.3590191583055
15,23,0.005146629375908551,-2125.6501942955983
15,29,0.00988325423563295,-4589.185210503177
15,59,0.01014817642101581,-4242.222018607421
15,64,0.004529554482815806,-2404.662203343327
15,65,0.004950690794110134,-2082.5443466495376
15,84,0.006846527132410556,-2638.424027041972
15,91,0.012520279181712014,-5780.377470894101
15,103,0.0073998681279153255,-2346.2130220017566
15,104,0.0058918369602755025,-2360.7933229288947
15,106,0.011621350912473183,-3804.4986233821583
15,114,0.004227502337952927,-2360.962962183485
16,24,0.005573969251064616,-820.3767098076582
16,42,0.0037627067371278885,-440.26797903364087
16,49,0.005083480760244411,-839.4570453983029
16,53,0.004242046516752098,-1019.213770387293
16,70,0.00552637761228801,-1105.2949749278223
16,73,0.005598647865566211,-1026.3341864379986
16,83,0.00802629200200542,-1376.9262783878487
16,91,0.008429252724956203,-2138.854961980216
17,30,0.007838263629172422,-1571.2462843293877
17,36,0.010585750429221618,-3155.405432585709
17,77,0.003099220187498169,-477.2824753651867
17,78,0.002769154668437739,-309.5203248966754
17,87,0.0027340675592845316,-600.4520176143853
17,90,0.003181876429224548,-653.0880805238338
17,102,0.0043815147464523535,-866.1291457042432
17,103,0.0066951280112593405,-1302.2209858394824
17,109,0.003943885072632244,-931.0413531254342
17,110,0.004431660412163472,-609.0348334522411
18,27,0.004688457704675024,-1227.5819185456012
18,32,0.00781085165831726,-1997.0775224497243
18,45,0.005551898607958165,-1517.098985981813
18,47,0.005571006162154565,-2677.925890106097
18,70,0.004772790865110863,-1127.433665476916
18,107,0.007613448608684821,-1778.6138212529104
19,27,0.005804710574020449,-1945.334048442807
19,42,0.007063002619854414,-1482.2221307092987
19,70,0.004251995232824308,-1174.9882841165545
19,73,0.0056583570949719116,-1519.7613580602583
19,81,0.00729401689485462,-2580.8834571363755
19,99,0.005242832341877827,-1244.3876394198394
19,112,0.005504007418477259,-1146.360548356097
19,114,0.013293654134522031,-6159.724015004561
20,34,0.00499269933726286,-2150.634289698885
20,37,0.006167613265146828,-3183.7646895452904
20,48,0.0038370622571311983,-1288.8778676420056
20,51,0.004650239638914857,-1782.7351875942593
20,53,0.011158141882089297,-4504.178817661951
20,89,0.004678959285521951,-1814.885661374865
20,91,0.006937732145776936,-2874.165739448211
20,100,0.0038442628042743192,-1642.0790870279309
20,113,0.008796385312729279,-4904.235614138553
21,25,0.0035852929168164573,-862.391248442745
21,29,0.003918613255730413,-1185.0333556987036
21,32,0.004205760324773504,-868.6559857138005
21,50,0.0052724632903159065,-1024.8248137453647
21,60,0.018060535363504784,-5178.704110182447
21,67,0.00451122751174218,-1198.858735995124
21,68,0.003501564945226917,-1064.0568085399095
21,86,0.010606388309208042,-2834.167676053959
21,106,0.005124033228438798,-933.3934405441348
21,108,0.004108995796836087,-701.4818389528497
22,23,0.008217893172145935,-2026.484810620725
22,39,0.005132190426093142,-1405.9814914787048
22,40,0.0050205242107864406,-1227.6808924117056
22,41,0.005315623047047198,-2020.3007849133594
22,60,0.0058828484020213125,-1587.5900610067906
22,62,0.0029526054851247764,-834.5881414077309
22,76,0.004909063289089956,-1236.9659380229446
22,87,0.008281755982805212,-2520.0102768292654
22,94,0.004162100757705436,-1018.9823188664075
22,95,0.0031375822361399274,-817.349743570537
22,109,0.010602187810050298,-2915.291788559122
23,63,0.006099366155315619,-1409.4836817119262
23,64,0.0025828692657964536,-706.8926414821437
23,65,0.0027748734316530924,-549.7694303589652
23,84,0.0031767549390500217,-645.4864894690076
23,103,0.0024072448314872556,-389.2776930689789
23,114,0.0034426902536434678,-991.7291060794915
24,27,0.005095537448519488,-1014.882294025165
24,48,0.008881683014692204,-1929.3518960171018
24,56,0.0070245998071877605,-2001.8423836438744
25,26,0.008243871691013711,-2461.048838623083
25,29,0.003424264946004077,-1058.5225019989834
25,32,0.0028347981658993562,-664.6149851575323
25,50,0.003259162987585606,-769.4688365277575
25,67,0.0032710401564963404,-1029.5502529647013
25,68,0.0030584170231136632,-873.7766100185155
25,71,0.010205686463676356,-4039.4408879570906
25,105,0.006545116970372062,-1929.8088020157877
