i,j,LLBCe,LLBMEe1
5,6,0.0010979805947934312,-10144.57418424351
5,9,0.00034462944088473535,-1356.6849698943274
5,10,0.00031166105014109567,-1051.081229474938
5,11,0.0002287547444197233,-737.281878177086
5,12,0.000546362668625095,-2722.6587125765495
5,13,0.000249450984336409,-860.5412438561582
5,14,0.00023907132485825495,-830.3669633523397
5,16,0.0003026149375674887,-463.576949723625
5,18,0.00032751554784197,-1376.1931112003897
5,19,0.0004403062604150591,-2581.3418961074603
5,20,0.00022633601352209905,-467.56490536504253
5,21,0.0005564388268723013,-728.1607583476502
5,22,0.0009007639250828799,-7149.4465449237505
5,23,0.00029277518128497006,-1070.2072573745622
5,152,0.00028399633630329767,-671.1290444622186
5,154,0.0004874114033314885,-1745.160503472772
5,163,0.000276634412009279,-546.5310389541564
5,164,0.0003361734074291242,-679.4450819747655
6,8,0.0007626291276019297,-7360.398361245173
6,9,0.0005603992181414998,-6259.562096767382
6,10,0.00033870392203901213,-3475.849709286353
6,11,0.00037636672672420484,-3903.0810755356983
6,12,0.0002925796260842946,-3690.6032126893733
6,13,0.00037276211741073625,-3956.40846441563
6,14,0.00036607291491940397,-3893.95356479228
6,17,0.00023694603137206652,-2776.833653966775
6,18,0.0002567848020381025,-2937.5122346885864
6,19,0.00013783193919619804,-1813.9696290760266
6,20,0.0007913336921771902,-7892.3975908311695
6,22,0.00021353284622028517,-3415.6819417442175
6,23,0.0003440662175742892,-3658.763316282205
6,25,0.0016123221512395162,-16501.731851309265
6,26,0.0008117932439510555,-10608.114360856074
6,27,0.001103798872596323,-13464.341238543768
6,47,0.001114905592818358,-12202.59544344088
6,53,0.0005047667951267907,-6239.315743628903
6,54,0.0009212957656715145,-10778.47523889189
6,66,0.0014352664962034327,-35255.009768964774
6,73,0.00032665072931310914,-4493.007561491789
6,74,0.00044403030489055745,-5422.9073743355975
6,75,0.0004112072274254033,-4767.719775778977
6,79,0.00035703362690028736,-4191.534685066618
6,80,0.0012227225458619124,-11455.287059311408
6,82,0.0010825881840233178,-10374.273049506544
6,83,0.0008985378379088731,-11434.951267659422
6,84,0.0011645888888910784,-11009.128525256105
6,85,0.0005739989871020824,-5641.198505052167
6,86,0.000673084027530265,-6608.152124366429
6,88,0.00037382548935014026,-4944.958641076082
6,89,0.0005094886024563026,-7934.691288387933
6,91,0.0023494581999357806,-20194.33662257386
6,92,0.00040961078209622164,-6191.3152914568245
6,94,0.0005493124629423109,-5086.7664538027975
6,95,0.0005582764506126045,-5143.597634184292
6,96,0.0003290724259453962,-4082.144577937611
6,97,0.001212636874994208,-11400.288672979514
6,99,0.0005091872423562473,-5296.119239712726
6,100,0.00038316573665230684,-5246.764164853745
6,101,0.0005058055810314582,-5403.367578343064
6,102,0.0008939521499117325,-8744.64133560908
6,103,0.0011066080861698033,-10175.256459157912
