i,j,LDC,Jaccard,LKS,CI_e_av_skin,CI_e_mul_skin,CI_e_av_body,CI_e_mul_body,LLBCe,LLBMEe1
44,57,12,0.0,2,59.0,1365,130.0,6900,0.21428571428571427,-181.71329281210734
44,58,18,0.0,4,74.5,4620,156.0,18860,0.25,-292.34496041418697
45,121,4,0.0,4,16.5,260,32.5,1000,0.25,-10.489522684399443
47,51,4,0.0,2,7.5,0,22.5,0,0.2,-26.57515893259069
47,52,12,0.0,4,10.5,90,34.5,1080,0.2857142857142857,-103.0763985864358
47,53,8,0.0,4,11.0,105,30.5,720,0.26666666666666666,-61.93921617452625
48,49,9,0.0,2,28.0,640,48.0,1904,0.3,-52.02669164213097
48,50,9,0.0,4,33.0,1040,61.0,3672,0.2,-43.36597499237193
49,126,3,0.0,1,8.0,0,14.0,0,0.25,-9.887510598012987
49,127,3,0.0,1,8.0,0,14.0,0,0.25,-9.887510598012987
50,141,3,0.0,2,13.0,0,27.0,0,0.25,-11.795476898172977
52,128,9,0.0,4,5.0,24,21.0,432,0.2,-36.53426925268108
52,131,6,0.0,4,4.0,12,17.0,240,0.175,-17.394346548516
53,74,6,0.0,4,12.5,126,25.0,544,0.3,-29.818879797456006
54,89,4,0.0,1,12.5,154,25.0,589,0.3333333333333333,-15.484804043631563
55,121,4,0.0,4,12.5,156,27.0,725,0.25,-10.489522684399443
57,146,4,0.0,1,11.5,130,23.5,510,0.3333333333333333,-15.484804043631563
58,113,3,0.0,2,22.0,0,41.0,0,0.25,-14.04639368137266
59,60,14,0.0,2,33.5,420,89.0,3432,0.19444444444444445,-219.01355915170785
59,61,14,0.0,4,39.0,1080,98.0,6240,0.19444444444444445,-228.71761967954708
59,62,21,0.1111111111111111,4,39.0,1080,102.0,7488,0.125,-142.18178700168608
59,63,7,0.0,2,30.0,0,78.0,0,0.125,-104.65474931193431
59,64,14,0.0,2,33.5,420,88.5,3276,0.19444444444444445,-219.01355915170785
59,65,14,0.0,4,36.0,720,92.0,4368,0.19444444444444445,-219.01355915170785
59,66,21,0.1111111111111111,4,39.0,1080,102.0,7488,0.125,-142.18178700168608
60,67,4,0.0,1,7.0,49,18.5,330,0.3333333333333333,-16.101406762940595
61,86,8,0.0,4,40.5,1134,90.5,5640,0.26666666666666666,-71.98212617608965
62,66,9,0.5,4,18.0,324,48.0,2304,0.08333333333333333,-6.591673732008659
62,125,9,0.2,4,16.0,252,45.0,2016,0.15,-15.262789005697151
64,152,4,0.0,1,7.0,49,17.5,294,0.3333333333333333,-13.328818040700815
65,114,4,0.0,4,11.0,120,26.0,672,0.3333333333333333,-17.723267195373253
66,125,9,0.2,4,16.0,252,45.0,2016,0.15,-15.262789005697151
67,71,4,0.0,1,6.5,42,11.5,120,0.3333333333333333,-8.317766166719343
68,69,2,0.0,1,4.5,0,7.5,0,0.3333333333333333,-3.58351893845611
69,70,6,0.0,2,21.5,306,38.5,930,0.3,-24.515857875309507
70,88,6,0.0,4,25.5,578,45.5,1798,0.175,-19.39442240805449
71,72,2,0.0,1,3.0,0,4.0,0,0.3333333333333333,-2.772588722239781
73,76,4,0.0,4,5.0,21,9.5,84,0.3333333333333333,-11.090354888959125
74,75,3,0.0,2,9.0,0,17.0,0,0.25,-10.75055681536833
76,77,4,0.0,4,2.5,6,6.5,42,0.3333333333333333,-11.090354888959125
77,83,4,0.0,4,3.0,8,7.0,48,0.3333333333333333,-11.090354888959125
78,79,12,0.0,4,59.5,2784,110.5,9858,0.27380952380952384,-125.38415356591602
78,80,8,0.0,4,52.5,1566,97.0,5565,0.23333333333333334,-63.77847284248294
79,81,12,0.0,4,41.5,1632,82.0,6324,0.27380952380952384,-115.09956757662917
79,82,6,0.0,2,20.0,256,39.0,992,0.3,-33.46704750779013
80,111,8,0.0,4,22.5,486,56.5,2730,0.23333333333333334,-60.48763579650732
81,104,12,0.0,4,35.5,1020,74.0,4692,0.27380952380952384,-111.62333755009045
81,105,4,0.0,2,25.5,0,51.0,0,0.2,-27.322416879174888
82,95,2,0.0,1,4.0,0,8.0,0,0.3333333333333333,-3.58351893845611
83,84,4,0.0,4,4.0,16,9.0,80,0.3333333333333333,-11.090354888959125
84,85,4,0.0,4,5.0,24,12.0,140,0.3333333333333333,-13.862943611198904
