node,degree,NodeBetweenness,CFNode,is_articulation_point,in_min_node_cut,name,voltage,frequency
420,6,0.4259809719675662,0.37121780302880386,False,False,新古河変電所,500000,50
433,6,0.38088910530887876,0.32355577067252855,False,False,新所沢変電所 (Shin Tokorozawa Hendensho),500000,50
189,7,0.23911816712822176,0.2928243008764416,True,False,西東京変電所,275000,
312,6,0.16463602449777565,0.2917745207986716,True,False,北東京変電所 (Kita Tōkyō Hendensho),275000,
596,6,0.1982477416453117,0.27378735056691456,True,False,新京葉変電所,500000,50
1605,4,0.15639259916176548,0.26684332075734357,False,False,新岡部変電所,500000,50
399,5,0.10343627186945158,0.2663908159454576,False,False,新坂戸変電所,500000;275000;66000,50
479,4,0.17439944359508688,0.24806817647496016,False,False,新多摩変電所 (Shin Tama Substation),500000,50
429,4,0.2131022475639149,0.24504213200227967,False,False,南狭山変電所 (Minamisayama Hendensho),275000,50
6045,4,0.2008194277444383,0.23860428116035826,False,False,新佐原線,275000;500000,
981,4,0.1481423547824888,0.23230576481294538,True,False,,500000,
597,4,0.14990886783932442,0.22716266715884487,True,False,新茂木,,50
415,3,0.1963228490543112,0.22615973601339998,False,False,新筑波変電所 (Shin Tsukuba Hendensho),500000,
6063,3,0.2991209963057469,0.22028786920495277,False,False,群馬幹線;新古河線 (Shin Koga Sen),154000;66000;500000,50
401,2,0.19954268884306592,0.21471224310814196,False,False,多摩変電所,,
1006,2,0.2981364969341508,0.21132183167102037,False,False,東武栗橋変電所 (Tōbu Kurihashi Hendensho),66000,
497,3,0.1419590966218532,0.2105161991673897,False,False,新秦野変電所 (Shin Hatano Hendensho),500000,50
218,3,0.1348271753382771,0.2000710628271074,True,True,新栃木変電所,,50
511,5,0.10753181464534625,0.19776792819037536,True,False,新野田変電所 (Shin Noda Hendensho),,
6775,2,0.1287107111572968,0.19297936394541482,False,False,佐波線 (Sawa-sen),500000;154000;500000;154000,
5567,3,0.06613561553653723,0.18482249708198015,True,False,東京中線;東埼玉線 (Higashi Saitama Sen);上尾線;東埼玉線;?,275000;154000;275000;154000,
507,4,0.096658160998337,0.18430776456087197,False,False,新富士変電所,500000,50
5785,3,0.16802505272970308,0.18404813407760864,False,False,新所沢線 (Shin Tokorozawa Sen),154000;500000,50
158,4,0.2213357345070794,0.1833790082231451,False,False,南川越変電所 (Minamikawagoe Hendensho),275000,50
223,4,0.09676273175225836,0.18210895369100263,False,False,新佐原変電所,500000,50
5887,3,0.20382597293782878,0.18042667603893783,False,False,新京葉線;新京葉線;新京葉線,500000;500000;500000,
1602,2,0.061066491112574096,0.17823404467792878,False,False,,66000,50
5886,4,0.11070216196315898,0.16873957869931386,False,False,新京葉線;新京葉線,275000;500000,
146,4,0.08712550122688371,0.14854629950682394,True,False,西群馬開閉所,500000,50
398,4,0.0897221058511381,0.14816359258836062,True,False,東京電力 京浜変電所,275000,
389,5,0.05672392124005026,0.14787614151915351,False,False,中東京変電所,,50
536,3,0.1026672252478704,0.13443606423534815,False,False,西横浜変電所,,
5856,3,0.04138734886116536,0.12865808856251928,False,False,佐久間東幹線,275000;275000;275000,
8606,4,0.08713866778382907,0.12760088970094308,True,False,,,
6092,2,0.09202625331657589,0.1270472636642633,False,False,"京浜線3,4号線;京浜線1,2号線;京浜線3,4号線;京浜線1,2号線",275000;275000;275000;275000,
627,2,0.08818680551399447,0.12594536430643163,False,False,新榛名,500000,
510,4,0.052835053509540306,0.12536305385315683,True,False,房総変電所 (Bōsō Hendensho),500000,50
9174,2,0.04032190962228668,0.12436788944844956,False,False,麻溝線; 大沼線;厚木北線;佐久間東幹線;佐久間東幹線;麻溝線;佐久間東幹線;佐久間東幹線;佐久間東幹線;佐久間東幹線;厚木北線;相模川線,66000;66000;275000;275000;66000;275000;275000;275000;66000,
275,2,0.03704370897919285,0.12328353398170022,False,False,北相模変電所 (Kita Sagami Hendensho),275000,
5766,2,0.016044447104354934,0.12147934227940578,False,False,東京北線 (Tōkyō Kita Sen),275000;154000,
9349,2,0.012223951164043324,0.12062712831861297,False,False,水海道線 (Mizukaidō Sen);東京北線 (Tōkyō Kita Sen);水海道線 (Mizukaidō Sen),66000;275000;66000,
628,2,0.07760867396812098,0.12038283533794504,False,False,,,
467,3,0.028994553833263506,0.11629342296974805,False,False,,,
5850,3,0.035944700460829496,0.11261555365972273,True,False,,500000;500000;500000,
5852,2,0.043610429509047026,0.11138321295722613,False,False,天竜南線,500000;154000,
5741,2,0.06155564865242284,0.11092316650546855,False,False,東秦野線; 大神線;東秦野線;秦浜線; 湘南線;秦浜線; 湘南線; 東秦野線,275000;154000;275000;154000,
8639,3,0.058908880534351914,0.11041664726356668,True,False,内房変電所 (Uchibō Hendensho);新木更津変電所,154000;66000;500000,50;50
5843,2,0.05091467672112833,0.10392249900894565,False,False,秦浜線;秦浜線; 湘南線; 東秦野線;湘南線;東秦野線,275000;275000;154000;154000,
500,2,0.02313304207313423,0.10358396749129002,False,False,,500000,
6094,2,0.020725557085004086,0.10298578488862803,False,False,,275000;154000,
489,2,0.040357491970395204,0.09868457278757524,False,False,下沖変電所,66000,
6053,3,0.07309288951517685,0.09753527987329116,True,False,花見川線,275000;275000,
5731,2,0.01365731043150398,0.0953602806536105,False,False,中綾線; 綾瀬線;秦浜線; 中綾線; 綾瀬線;秦浜線,66000;275000;66000;275000,
5695,2,0.0306381790252758,0.0952093878413564,False,False,下沖線;秦浜線; 下沖線;秦浜線,66000;275000;66000;275000,
6774,3,0.021781874039938552,0.09434831849399418,False,False,,275000;275000;275000,50
5898,3,0.041726015919564305,0.09418132330709063,True,False,,275000;275000,
458,2,0.0140203882139366,0.09354724177437432,False,False,中相模変電所,275000,
5697,2,0.021896383186705767,0.09349694417028946,False,False,相模川線; 海老名西線;秦浜線;秦浜線; 相模川線; 海老名西線,275000;275000;66000,
434,3,0.045642323044920434,0.09300305276997486,True,False,,,
1196,2,0.07842480100544616,0.08899909730477522,False,False,,275000,
5900,3,0.04091861217960926,0.08549053543508527,True,False,,275000;275000,
5639,2,0.019438625890238793,0.08376025293922318,False,False,,275000;275000,
6388,3,0.03283200670297445,0.08318405345317585,True,False,,275000;500000;500000,50
6042,3,0.022242703533026126,0.08177857995565029,False,False,新京葉線,275000;275000;275000,
6044,3,0.030501326630358892,0.08108010000772208,False,False,,275000;275000;275000,
9119,2,0.01854070660522274,0.07936481898350259,False,False,,500000,
5564,3,0.05606758832565284,0.07927195499998523,False,False,"京浜線3,4号線;成瀬線",275000;66000,
181,3,0.05606758832565284,0.07927195499998523,False,False,,66000,
5839,3,0.018824186566122048,0.07744058374236541,True,False,,275000;275000,
5972,3,0.02998882837592515,0.07713054259926042,True,False,新座線;狭山線;狭山線 (Sayama Sen);新座線; unknown,275000;154000;154000;275000,
6069,2,0.06284038542103058,0.07485525227460722,True,False,西越谷線 (Nishi Koshigaya Sen);西越谷線 (Nishi Koshigaya Sen);西越谷線 (Nishi Koshigaya Sen),275000;275000;275000,
6057,2,0.06284038542103058,0.07485525227460721,True,False,江東線,275000;154000,
