i,j,EBC,CFEdge,BridgeImpact,MinCutCrit,line_name,line_voltage,length_m
2226,399,0.03638130686517783,0.06567687146497145,0.0,0.007857733664185277,新坂戸線 (Shin Sakado Sen),500000;500000,23761.697860031
399,6094,0.028827641892158026,0.09714243941671447,0.0,0.0064516129032258064,群馬幹線,154000;154000;66000,3196.51729435245
399,6063,0.024145299145299143,0.06985534362521464,0.0,0.0024813895781637717,群馬幹線,154000;154000;66000,3569.26466201067
1602,399,0.06719012170625077,0.17325603922091565,0.0,0.010421836228287842,東京中線;東京中線;東京中線,275000;66000;275000;275000,3651.92721951398
497,507,0.08108203624332662,0.11781337715745302,0.0,0.001075268817204301,新秦野線 (Shin Hatano Sen),500000,25465.586947428
497,5741,0.07242900468706918,0.10845392916226049,0.0,0.01555004135649297,秦浜線; 湘南線,275000;154000;275000,11905.6235023171
479,497,0.13958768829736568,0.18194457919455437,0.0,0.0018196856906534326,新多摩線 (Shin Tama Sen);新多摩線 (Shin Tama Sen);新多摩線 (Shin Tama Sen),500000;500000;500000,39546.4468379798
507,6710,0.020981527433140336,0.051845558239463324,0.0,0.004962779156327543,,154000,13113.2825521387
507,5852,0.054920634920634905,0.10755112376608492,0.0,0.014392059553349877,,500000,7729.76078205436
507,5856,0.04667422183551215,0.07858495713822976,0.0,0.0016542597187758478,,275000,5347.84794520837
320,597,0.025475599669148058,0.025475599669148138,0.012820512820512775,0.009015715467328371,那珂線 (Naka Sen),275000,27475.3385162828
219,320,0.01282051282051282,0.012820512820512936,0.0064102564102563875,0.010421836228287842,,275000,6651.66749600215
415,597,0.07207435933242386,0.1366032476140445,0.0,0.0017369727047146402,福島幹線,500000,48514.1830025338
218,597,0.13309862180829918,0.18899619305799392,0.0,0.004631927212572374,新茂木線 (Shin Motegi Sen);新茂木線 (Shin Motegi Sen),500000;500000;500000,26837.2737485788
420,597,0.0781458505652054,0.09042978115598735,0.0,0.0008271298593879239,福島幹線,500000,58557.9760316945
218,477,0.01282051282051282,0.012820512820513037,0.0064102564102563875,0.008105872622001655,,500000,11047.6684276542
218,6775,0.13309862180829918,0.1855049069551959,0.0,0.007030603804797354,,500000;500000,89702.3990618704
415,420,0.13182251440315967,0.10397464052542736,0.0,0.0009098428453267163,新筑波線 (Shin Tsukuba Sen),500000,9144.84667210146
415,6045,0.19653541798703097,0.19892107106681522,0.0,0.005789909015715467,新佐原線,500000,32823.8577114395
312,420,0.10866083737051478,0.11129449933213287,0.0,8.271298593879239e-05,河北1・2線 (Kahoku 1・2 Sen),275000,16622.5160060243
420,5887,0.2111466490498748,0.1723380131431556,0.0,0.006699751861042184,新京葉線,500000,21569.036267
420,5790,0.023752412462089884,0.04626422719075549,0.0,0.0076095947063689,河北3・4線 (Kahoku 3・4 Sen),275000,11876.1752061955
1006,420,0.30033160387999086,0.2053139318896353,0.0,0.008602150537634409,新古河線 (Shin Koga Sen),500000,12853.4023480628
146,628,0.07804048997597385,0.11185113917732731,0.0,0.0023986765922249793,新吾妻線;新吾妻線;新吾妻線,500000;500000;500000,6726.23993784526
434,5785,0.051122784026009865,0.07383985279427514,0.0,0.003970223325062035,,154000,458.320510265401
434,5786,0.03796526054590571,0.03796526054590578,0.019230769230769273,0.014226633581472291,青梅線 (Ōme Sen),275000,10193.2277643779
434,5839,0.013846798362927404,0.06138047937925593,0.0,0.007113316790736146,,275000,15928.6519301553
