i,j,LDC,Jaccard,LKS,CI_e_av_skin,CI_e_mul_skin,CI_e_av_body,CI_e_mul_body,LLBCe,LLBMEe1
86,87,2,0.0,1,6.5,0,11.0,0,0.3333333333333333,-3.58351893845611
88,109,6,0.0,2,13.0,120,30.0,644,0.3,-35.8122453599122
89,90,4,0.0,4,18.0,323,32.5,1036,0.2916666666666667,-13.846139617957222
92,105,3,0.0,2,6.0,0,14.0,0,0.25,-8.798022412760561
92,112,9,0.0,4,23.0,408,45.0,1736,0.14444444444444443,-23.82303514520969
95,96,4,0.0,1,3.0,5,6.5,36,0.3333333333333333,-11.090354888959125
95,128,4,0.0,1,1.0,1,3.5,12,0.3333333333333333,-8.317766166719343
96,114,4,0.0,1,8.5,60,14.5,180,0.3333333333333333,-11.090354888959125
97,102,3,0.0,2,13.0,0,27.0,0,0.25,-11.795476898172977
98,99,4,0.0,4,2.5,6,9.0,80,0.16666666666666666,-5.011051873981472
101,141,4,0.0,1,1.0,1,3.5,12,0.3333333333333333,-8.317766166719343
107,108,2,0.0,1,2.5,0,4.0,0,0.3333333333333333,-2.772588722239781
108,109,4,0.0,1,5.5,30,11.0,112,0.3333333333333333,-9.939626599152001
110,111,3,0.0,2,3.0,0,9.0,0,0.25,-10.228488553430552
111,143,6,0.0,4,5.0,24,15.5,234,0.275,-26.500448707968395
113,114,4,0.0,1,13.5,180,26.5,660,0.3333333333333333,-15.484804043631563
115,146,4,0.0,4,19.0,357,39.0,1517,0.2916666666666667,-16.427735918914948
116,117,4,0.0,1,11.5,130,23.5,510,0.3333333333333333,-15.484804043631563
117,144,4,0.0,1,7.5,50,12.0,119,0.3333333333333333,-8.317766166719343
118,119,6,0.0,4,8.0,48,27.5,600,0.16666666666666666,-16.387748715416713
120,127,6,0.0,4,29.0,672,60.0,2816,0.16666666666666666,-18.945265891128937
121,122,2,0.0,1,5.0,0,8.0,0,0.3333333333333333,-3.58351893845611
123,124,6,0.0,4,18.5,286,31.0,840,0.3,-28.09278736274532
123,130,6,0.0,4,21.0,416,37.0,1344,0.3,-31.157741105341263
123,131,3,0.0,2,13.0,0,21.0,0,0.25,-10.75055681536833
125,145,6,0.0,4,50.0,2244,93.5,7812,0.3,-41.20159970677129
128,129,2,0.0,1,0.5,0,1.5,0,0.3333333333333333,-2.772588722239781
139,140,4,0.0,1,7.0,49,17.5,294,0.3333333333333333,-13.328818040700815
