i,j,LDC,Jaccard,LKS,CI_e_av_skin,CI_e_mul_skin,CI_e_av_body,CI_e_mul_body,LLBCe,LLBMEe1
13,330,25,0.0,9,2556.0,5314320,3218.0,8920320,0.09814814814814814,-192.33808327763754
14,18,36,0.0,9,292.5,72216,931.5,677160,0.10721153846153844,-444.7752052206434
14,23,36,0.08333333333333333,9,320.5,82128,919.5,665280,0.0659090909090909,-240.23372831939022
14,24,36,0.08333333333333333,9,376.5,101952,987.5,732600,0.08611111111111111,-321.5561525606585
15,25,35,0.09090909090909091,9,346.0,115872,812.0,633744,0.08666666666666666,-213.5413820034454
15,23,63,0.14285714285714285,9,436.0,189312,1158.0,1306368,0.08188121402407117,-505.236503860429
15,30,7,0.0,3,204.0,0,486.0,0,0.125,-103.74403943207722
15,24,63,0.14285714285714285,9,492.0,235008,1226.0,1438560,0.0815934065934066,-521.5492913534779
15,27,28,0.2222222222222222,9,313.5,89352,727.5,469476,0.07407407407407408,-110.23363216187198
16,41,15,0.0,6,238.0,46240,392.0,118320,0.2261904761904762,-159.8905420287967
16,57,3,0.0,2,68.0,0,102.0,0,0.25,-14.370797008994314
17,22,33,0.07692307692307693,9,310.0,70500,1062.0,553280,0.06404914529914528,-315.31840029517053
18,25,45,0.07692307692307693,9,346.0,115872,1010.0,891936,0.12239010989010989,-516.8641174705764
18,31,54,0.15384615384615385,9,366.5,132600,1114.0,1176480,0.07619047619047618,-380.3211931662558
18,20,27,0.09090909090909091,9,282.0,63648,837.0,418608,0.07856060606060607,-205.14116438406938
18,22,99,0.1111111111111111,9,439.0,191760,1594.0,2489760,0.0712223778400249,-1034.266235682214
18,28,36,0.18181818181818182,9,291.0,70992,904.5,603288,0.06272727272727273,-179.81306506634667
19,58,4,0.0,4,42.5,1566,64.0,3420,0.3333333333333333,-17.10666447606422
20,21,21,0.1111111111111111,9,294.0,67392,684.0,324972,0.08958333333333335,-118.34763567028482
21,40,28,0.2222222222222222,9,343.5,110160,747.0,458784,0.1388888888888889,-206.98132768867478
21,22,77,0.125,9,451.0,203040,1441.0,1932840,0.07267857142857143,-731.3197850305171
21,42,35,0.09090909090909091,9,394.0,153792,863.0,705168,0.12402597402597403,-321.20242675613105
