i,j,LDC,Jaccard,LKS,CI_e_av_skin,CI_e_mul_skin,CI_e_av_body,CI_e_mul_body,LLBCe,LLBMEe1
54,193,14,0.0,4,96.5,3306,202.0,13908,0.1875,-251.17817937448396
54,66,28,0.0,4,115.5,9918,252.0,50508,0.25,-658.5347997922682
54,198,35,0.0,4,151.0,22272,307.0,90768,0.26515151515151514,-884.8772108834121
54,82,14,0.0,4,102.0,5220,210.0,19764,0.19444444444444445,-261.84136738522335
54,239,14,0.0,4,100.5,4698,209.0,19032,0.19444444444444445,-271.54542791306255
55,56,4,0.0,1,6.0,35,11.0,117,0.3333333333333333,-11.090354888959125
55,57,4,0.0,1,3.5,10,8.0,63,0.3333333333333333,-11.090354888959125
56,58,4,0.0,1,9.0,77,17.5,286,0.3333333333333333,-13.862943611198904
57,277,4,0.0,1,2.0,4,7.0,49,0.3333333333333333,-12.712215321391781
58,131,8,0.0,2,31.0,561,63.5,2310,0.26666666666666666,-56.394038730046695
59,60,4,0.0,1,1.5,2,5.5,30,0.3333333333333333,-11.090354888959125
59,61,4,0.0,1,1.0,1,4.5,20,0.3333333333333333,-11.090354888959125
60,161,4,0.0,1,3.0,8,7.0,48,0.3333333333333333,-11.090354888959125
61,62,4,0.0,1,1.0,1,3.5,12,0.3333333333333333,-8.317766166719343
62,362,2,0.0,1,0.5,0,1.5,0,0.3333333333333333,-2.772588722239781
63,64,8,0.0,4,29.5,528,61.5,2142,0.25,-61.1436455683518
63,65,4,0.0,4,12.0,143,22.5,504,0.2916666666666667,-11.436830961631715
64,66,16,0.0,4,52.5,2736,120.0,14076,0.2767857142857143,-217.8109646506556
64,67,8,0.0,2,30.0,576,62.0,2244,0.26666666666666666,-65.77183157813754
64,68,8,0.0,4,30.5,624,63.5,2550,0.26666666666666666,-65.77183157813754
65,193,4,0.0,4,16.0,247,31.0,912,0.2916666666666667,-13.494084288789132
66,194,8,0.0,4,36.5,912,85.0,4416,0.26666666666666666,-79.40981631604494
66,196,12,0.0,4,43.5,1710,101.0,8832,0.2857142857142857,-140.61583810480406
67,293,4,0.0,1,9.0,72,17.0,264,0.3333333333333333,-13.862943611198904
68,144,4,0.0,4,10.0,91,20.5,400,0.3333333333333333,-16.635532333438686
69,70,28,0.0,4,133.5,14400,289.5,66780,0.20454545454545456,-516.3295582826045
69,71,14,0.0,4,108.0,4608,233.5,19740,0.18055555555555555,-226.72706227104752
69,72,14,0.0,4,114.0,6912,245.5,29820,0.13194444444444445,-177.15617752171366
69,73,14,0.0,4,108.5,4800,231.5,18060,0.13194444444444445,-164.8129891724762
69,74,21,0.0,4,120.0,9216,261.0,42840,0.2222222222222222,-393.792793193242
69,75,28,0.0,4,157.5,23616,334.5,104580,0.2,-500.96914007486447
69,76,14,0.0,4,114.0,6912,240.0,25200,0.19444444444444445,-247.15764292683937
70,178,16,0.0,4,61.5,3600,132.0,16695,0.2857142857142857,-219.74186510278022
70,289,8,0.0,4,44.5,1050,94.5,4770,0.16666666666666666,-46.75919967124941
70,290,16,0.0,4,61.5,3600,132.0,16695,0.2857142857142857,-219.74186510278022
71,118,4,0.0,4,19.5,360,40.0,1551,0.25,-14.888533890779721
72,78,12,0.0,4,105.5,6300,233.0,28045,0.13095238095238096,-108.11225711398
73,289,4,0.0,4,19.5,350,36.5,1290,0.16666666666666666,-7.721459422081191
74,80,18,0.0,4,61.5,3600,138.5,17850,0.1736111111111111,-200.1331621137021
74,81,6,0.0,4,31.0,672,66.0,3060,0.175,-23.709783602251647
75,77,24,0.1111111111111111,4,139.0,19065,322.0,98355,0.1851851851851852,-278.5746961503808
75,78,24,0.1111111111111111,4,149.0,21525,322.0,98355,0.13657407407407407,-196.26047199642204
75,79,8,0.0,4,75.0,3321,148.5,11952,0.26666666666666666,-74.82705563681358
76,82,4,0.0,4,33.0,1080,57.0,3240,0.3333333333333333,-21.112458636922067
77,78,36,0.2,4,165.0,27125,395.0,156025,0.17777777777777778,-399.4503815064871
77,149,24,0.1111111111111111,4,115.0,11625,287.5,71100,0.16435185185185186,-224.23947212231408
77,150,24,0.0,4,134.5,17670,316.0,93615,0.18888888888888888,-333.04400320886447
77,151,12,0.0,4,93.0,4805,225.5,22120,0.20535714285714285,-170.6315184115494
77,152,24,0.0,4,125.5,14880,284.5,68730,0.20555555555555555,-348.042704267239
78,149,24,0.1111111111111111,4,125.0,13125,287.5,71100,0.1273148148148148,-164.24026120134621
78,153,24,0.0,4,129.5,14700,286.0,69915,0.15370370370370368,-248.7584154041134
78,154,18,0.0,4,120.5,11550,266.5,54510,0.18518518518518517,-211.3901984770425
79,351,4,0.0,4,23.5,540,38.0,1344,0.3333333333333333,-13.862943611198904
80,114,12,0.0,4,48.0,1575,107.0,6825,0.21428571428571427,-166.58905515896282
80,118,12,0.0,4,45.0,1125,104.0,5775,0.19642857142857142,-142.87463725947282
80,119,12,0.0,4,44.5,1050,101.0,4725,0.21428571428571427,-158.27128899224346
80,120,6,0.0,2,37.5,0,87.5,0,0.14285714285714285,-74.97676141276206
80,121,18,0.0,4,49.5,1800,112.5,8750,0.1875,-198.85120816906038
81,121,6,0.0,4,19.0,336,40.0,1500,0.175,-19.765242431087323
83,84,4,0.0,1,2.0,4,6.0,36,0.3333333333333333,-11.090354888959125
83,85,4,0.0,1,3.0,8,7.0,48,0.3333333333333333,-11.090354888959125
84,86,4,0.0,1,1.5,2,5.5,30,0.3333333333333333,-11.090354888959125
85,230,4,0.0,1,3.5,12,8.5,72,0.3333333333333333,-11.090354888959125
86,235,4,0.0,1,1.0,1,4.5,20,0.3333333333333333,-11.090354888959125
87,224,24,0.1111111111111111,4,142.5,18900,297.0,79560,0.20833333333333334,-288.1649204442151
